epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.58147,0.78607,2.44549,1.15309,0.53978,0.50773,0.49509,0.4297,0.57011,1.6862,0.96269,0.0950175,1.75e-05,1.75e-05
2,10.3894,0.66284,1.57261,1.04991,0.85189,0.79639,0.8663,0.72851,0.60756,1.35462,0.93596,0.0890385,3.84739e-05,3.84739e-05
3,12.8769,0.49567,0.66567,0.9151,0.86968,0.79118,0.85298,0.71529,0.65981,0.85008,0.98824,0.0830593,5.93387e-05,5.93387e-05
4,15.3119,0.47904,0.51488,0.92361,0.88577,0.83934,0.86679,0.68129,0.82044,0.72442,1.06788,0.07708,8.00094e-05,8.00094e-05
5,17.7092,0.48694,0.49835,0.93934,0.85665,0.81443,0.86126,0.70717,0.7385,0.74752,1.028,0.0711004,0.000100402,0.000100402
6,20.1783,0.4503,0.43318,0.89793,0.89415,0.82302,0.89715,0.772,0.59099,0.58418,0.95536,0.0651204,0.000120434,0.000120434
7,22.6523,0.41197,0.3689,0.88282,0.88438,0.87397,0.91058,0.79833,0.53761,0.54014,0.91352,0.05914,0.000140023,0.000140023
8,25.111,0.42201,0.39611,0.88924,0.88922,0.88266,0.91688,0.82113,0.44559,0.56384,0.86592,0.0531591,0.000159092,0.000159092
9,27.5688,0.42619,0.40287,0.87553,0.90444,0.91886,0.94771,0.84583,0.48163,0.45825,0.87442,0.0471776,0.000177562,0.000177562
10,29.9253,0.40789,0.39164,0.87182,0.91913,0.94714,0.96362,0.86425,0.44449,0.4205,0.85925,0.0411954,0.000195359,0.000195359
11,32.3198,0.391,0.33521,0.86872,0.93748,0.93643,0.97257,0.89272,0.40706,0.40481,0.85652,0.0352124,0.000212413,0.000212413
12,34.673,0.37775,0.33256,0.86955,0.93126,0.95361,0.9755,0.8956,0.41151,0.38249,0.85512,0.0292287,0.000228655,0.000228655
