epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18815,2.04479,57.6369,0.02121,0,0,0,0,nan,nan,nan,0.09015,0.00015,0.00015
2,6.30028,2.79779,24.0211,0.02949,0,0,0,0,nan,nan,nan,0.0793149,0.000314905,0.000314905
3,8.42135,2.42432,3.89874,0.02492,0,0,0,0,nan,nan,nan,0.0684794,0.000479421,0.000479421
4,10.4447,2.76644,3.629,0.02838,0,0,0,0,nan,nan,nan,0.0576433,0.000643251,0.000643251
5,12.4991,2.54684,3.27965,0.02523,0,0,0,0,nan,nan,nan,0.0468061,0.000806098,0.000806098
6,14.4835,2.48857,3.05751,0.02363,0,0,0,0,nan,nan,nan,0.0359677,0.000967668,0.000967668
7,16.4354,2.36404,2.77267,0.02249,0,0,0,0,nan,nan,nan,0.0251277,0.00112767,0.00112767
8,18.5028,2.33997,2.69995,0.02323,0.0087,0.00601,0.00351,0.00105,nan,nan,nan,0.0142858,0.00128581,0.00128581
9,20.4577,2.28667,2.59172,0.02114,0.02383,0.04381,0.01531,0.00659,nan,nan,nan,0.00344181,0.00144181,0.00144181
10,22.5417,2.31369,2.60434,0.02347,0.08444,0.16323,0.06081,0.01895,nan,nan,nan,0.00146366,0.00146366,0.00146366
11,24.6163,2.29774,2.62956,0.0228,0.26019,0.23969,0.15647,0.04565,nan,nan,nan,0.00145522,0.00145522,0.00145522
12,26.6778,2.32318,2.58376,0.02272,0.32799,0.28694,0.24667,0.07839,2.07368,nan,0.01897,0.00144593,0.00144593,0.00144593
13,28.8149,2.28629,2.5565,0.02294,0.36645,0.35137,0.28572,0.09705,2.05065,nan,0.01877,0.00143581,0.00143581,0.00143581
14,30.9107,2.27103,2.61205,0.02254,0.38275,0.37801,0.31041,0.11335,2.01891,2.51261,0.01845,0.00142485,0.00142485,0.00142485
15,32.9856,2.19933,2.48477,0.02242,0.41527,0.39605,0.33639,0.12652,2.01232,2.40034,0.01833,0.00141309,0.00141309,0.00141309
16,35.0582,2.31637,2.56608,0.0242,0.42963,0.37662,0.33619,0.13037,2.00821,2.35456,0.01829,0.00140052,0.00140052,0.00140052
17,37.1766,2.29236,2.58178,0.02171,0.43755,0.37113,0.34108,0.13414,2.00838,2.31536,0.01828,0.00138718,0.00138718,0.00138718
18,39.3948,2.22062,2.54684,0.02094,0.43427,0.36684,0.34247,0.13912,2.01235,2.26051,0.01832,0.00137306,0.00137306,0.00137306
19,41.4517,2.2474,2.48463,0.02098,0.43865,0.37124,0.34865,0.14452,2.00749,2.22372,0.01825,0.0013582,0.0013582,0.0013582
20,43.5101,2.20592,2.43695,0.02129,0.43216,0.36426,0.3494,0.14574,2.00786,2.19936,0.01822,0.0013426,0.0013426,0.0013426
21,45.521,2.21215,2.46956,0.02131,0.4231,0.37285,0.34443,0.14495,2.00749,2.18563,0.01825,0.00132629,0.00132629,0.00132629
22,47.7224,2.25215,2.50263,0.02105,0.42714,0.36512,0.34371,0.14649,2.00386,2.16799,0.01827,0.00130929,0.00130929,0.00130929
23,49.7689,2.17703,2.41455,0.02109,0.44535,0.3725,0.35881,0.15297,1.99604,2.14969,0.01819,0.00129161,0.00129161,0.00129161
24,51.8167,2.22281,2.48651,0.02069,0.45974,0.37371,0.36861,0.1589,1.98443,2.13761,0.01808,0.00127328,0.00127328,0.00127328
25,53.8833,2.18941,2.40726,0.02234,0.47226,0.39089,0.3763,0.16372,1.97901,2.1286,0.01805,0.00125433,0.00125433,0.00125433
26,55.9782,2.17709,2.414,0.01976,0.47183,0.40378,0.38975,0.16949,1.96472,2.12046,0.01788,0.00123477,0.00123477,0.00123477
27,58.1981,2.18579,2.35567,0.02046,0.47519,0.40216,0.39503,0.1741,1.95433,2.10821,0.01778,0.00121463,0.00121463,0.00121463
28,60.2757,2.16968,2.46186,0.02198,0.46591,0.40292,0.39502,0.17573,1.95619,2.08883,0.01779,0.00119393,0.00119393,0.00119393
29,62.3021,2.18667,2.3642,0.02188,0.45494,0.40034,0.39237,0.17575,1.94943,2.08587,0.0177,0.0011727,0.0011727,0.0011727
30,64.4454,2.19768,2.43789,0.0226,0.45094,0.39948,0.3915,0.17537,1.9468,2.08256,0.01767,0.00115097,0.00115097,0.00115097
31,66.5391,2.16158,2.27694,0.02183,0.46823,0.4055,0.3943,0.17719,1.94505,2.07129,0.01774,0.00112875,0.00112875,0.00112875
32,68.7142,2.16651,2.32806,0.02081,0.48208,0.40383,0.40621,0.18258,1.95024,2.04711,0.01781,0.00110608,0.00110608,0.00110608
33,70.7571,2.13047,2.29658,0.02063,0.49746,0.40893,0.41294,0.1853,1.94845,2.03696,0.01781,0.00108299,0.00108299,0.00108299
34,72.8216,2.13273,2.30942,0.0204,0.50543,0.41667,0.42314,0.18942,1.94012,2.02797,0.01779,0.0010595,0.0010595,0.0010595
35,74.896,2.12131,2.29806,0.02132,0.51137,0.42526,0.43023,0.19423,1.92389,2.00956,0.01761,0.00103565,0.00103565,0.00103565
36,76.9628,2.17847,2.307,0.02152,0.5143,0.44416,0.43506,0.19922,1.89961,1.99388,0.01736,0.00101145,0.00101145,0.00101145
37,79.1168,2.13821,2.23735,0.02094,0.51955,0.45244,0.43859,0.20422,1.88876,1.98864,0.01724,0.000986945,0.000986945,0.000986945
38,81.1787,2.18967,2.3924,0.02102,0.52895,0.45017,0.44155,0.20827,1.87061,1.98631,0.01709,0.000962161,0.000962161,0.000962161
39,83.2501,2.16469,2.2946,0.02111,0.53093,0.44502,0.44215,0.21067,1.86317,1.99104,0.01705,0.000937127,0.000937127,0.000937127
40,85.327,2.10813,2.22834,0.02135,0.53182,0.44158,0.44545,0.21351,1.85903,1.9854,0.01702,0.000911874,0.000911874,0.000911874
41,87.4884,2.13644,2.23107,0.021,0.53379,0.45275,0.44935,0.21617,1.85504,1.97677,0.01698,0.000886434,0.000886434,0.000886434
42,89.5487,2.05341,2.22714,0.01982,0.53761,0.44674,0.45071,0.21807,1.86202,1.96061,0.01707,0.000860836,0.000860836,0.000860836
43,91.6049,2.11673,2.33375,0.02004,0.52043,0.42612,0.44526,0.21608,1.87932,1.95921,0.01728,0.000835112,0.000835112,0.000835112
44,93.6698,2.13539,2.24741,0.02031,0.52955,0.42096,0.43922,0.21144,1.89773,1.9613,0.01743,0.000809294,0.000809294,0.000809294
45,95.6829,2.06144,2.23285,0.01899,0.53026,0.41993,0.43917,0.21233,1.8987,1.95558,0.01744,0.000783413,0.000783413,0.000783413
46,97.7393,2.07514,2.21336,0.0187,0.51197,0.44793,0.44814,0.2212,1.87232,1.9237,0.01724,0.0007575,0.0007575,0.0007575
47,99.8823,2.05777,2.16594,0.01984,0.50277,0.46134,0.45398,0.22599,1.84687,1.9221,0.01695,0.000731587,0.000731587,0.000731587
48,101.95,2.1456,2.23383,0.02026,0.50126,0.46735,0.46095,0.22763,1.84161,1.91367,0.01687,0.000705706,0.000705706,0.000705706
49,103.961,2.1483,2.24071,0.0206,0.50622,0.46416,0.46341,0.22913,1.84309,1.90766,0.01689,0.000679888,0.000679888,0.000679888
50,106.009,2.10006,2.25636,0.01901,0.53058,0.4622,0.46518,0.23393,1.84665,1.89105,0.01697,0.000654164,0.000654164,0.000654164
51,108.128,2.1005,2.20226,0.02099,0.52675,0.46907,0.46589,0.23571,1.85162,1.88029,0.01707,0.000628566,0.000628566,0.000628566
52,110.197,2.2069,2.28793,0.02263,0.52908,0.45619,0.46496,0.2353,1.85551,1.88652,0.01714,0.000603126,0.000603126,0.000603126
53,112.229,2.12844,2.30577,0.02053,0.53674,0.45704,0.46344,0.233,1.86053,1.89113,0.0172,0.000577873,0.000577873,0.000577873
54,114.307,2.07089,2.21923,0.02059,0.53347,0.45704,0.46559,0.23434,1.85988,1.88375,0.01722,0.000552839,0.000552839,0.000552839
55,116.365,2.05208,2.21925,0.0199,0.53141,0.46306,0.46931,0.23588,1.85412,1.87215,0.01718,0.000528055,0.000528055,0.000528055
56,118.55,2.17051,2.23034,0.02147,0.51206,0.47251,0.47064,0.2364,1.85133,1.86357,0.01712,0.00050355,0.00050355,0.00050355
57,120.643,2.08312,2.1792,0.02109,0.50912,0.4811,0.47271,0.23643,1.83769,1.87489,0.01694,0.000479355,0.000479355,0.000479355
58,122.82,2.11541,2.137,0.02162,0.49648,0.47509,0.4721,0.2364,1.82882,1.88265,0.01685,0.000455498,0.000455498,0.000455498
59,124.93,2.09094,2.22603,0.01878,0.4964,0.47931,0.47539,0.23718,1.82663,1.8827,0.01683,0.000432009,0.000432009,0.000432009
60,126.99,2.10407,2.24313,0.01906,0.49631,0.48252,0.477,0.24008,1.81442,1.87641,0.01671,0.000408917,0.000408917,0.000408917
61,129.131,2.0783,2.18207,0.02012,0.50278,0.48282,0.47828,0.2425,1.8115,1.86891,0.01668,0.00038625,0.00038625,0.00038625
62,131.194,2.11912,2.21315,0.02279,0.51234,0.4854,0.48143,0.24377,1.80762,1.86584,0.01666,0.000364035,0.000364035,0.000364035
63,133.229,2.08457,2.18806,0.01984,0.52263,0.48346,0.48401,0.24664,1.79984,1.85984,0.01659,0.000342299,0.000342299,0.000342299
64,135.295,2.12023,2.25739,0.01963,0.52048,0.48117,0.48377,0.24567,1.79753,1.86264,0.01656,0.000321069,0.000321069,0.000321069
65,137.315,2.09643,2.18564,0.02021,0.53362,0.48282,0.48634,0.24617,1.80218,1.85842,0.01663,0.000300371,0.000300371,0.000300371
66,139.472,2.11154,2.20488,0.0207,0.53423,0.47337,0.48525,0.24641,1.81267,1.8479,0.01675,0.00028023,0.00028023,0.00028023
67,141.527,2.02855,2.21167,0.02002,0.53166,0.47885,0.48707,0.24705,1.80893,1.84892,0.01671,0.000260671,0.000260671,0.000260671
68,143.572,2.05431,2.19337,0.0195,0.52911,0.47595,0.48788,0.24727,1.8055,1.85015,0.01667,0.000241716,0.000241716,0.000241716
69,145.566,2.1319,2.20432,0.02111,0.52919,0.47595,0.48791,0.24875,1.80788,1.84129,0.01671,0.00022339,0.00022339,0.00022339
70,147.739,2.07265,2.19786,0.01959,0.52106,0.4811,0.49012,0.24783,1.79643,1.85341,0.01659,0.000205715,0.000205715,0.000205715
71,149.819,2.14725,2.22797,0.02164,0.53046,0.48024,0.49103,0.24862,1.79547,1.85167,0.01658,0.000188712,0.000188712,0.000188712
72,151.859,2.0438,2.11408,0.0205,0.52375,0.48711,0.4927,0.2495,1.79579,1.83561,0.0166,0.000172402,0.000172402,0.000172402
73,153.876,2.07117,2.15867,0.02062,0.52297,0.49227,0.49306,0.24904,1.79539,1.83832,0.01658,0.000156805,0.000156805,0.000156805
74,155.953,2.07849,2.17741,0.01898,0.52156,0.49055,0.49467,0.24824,1.79199,1.84469,0.01655,0.00014194,0.00014194,0.00014194
75,158.108,2.10559,2.15015,0.02068,0.5163,0.49399,0.49387,0.24833,1.79305,1.84058,0.01657,0.000127824,0.000127824,0.000127824
76,160.181,2.07073,2.18633,0.01946,0.51882,0.48969,0.49257,0.24811,1.78992,1.83802,0.01654,0.000114476,0.000114476,0.000114476
77,162.206,2.1152,2.15691,0.02019,0.51988,0.4854,0.49274,0.24834,1.78966,1.83763,0.01653,0.000101911,0.000101911,0.000101911
