epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.82397,2.08242,49.8078,0.02285,0,0,0,0,nan,nan,nan,0.09015,0.00015,0.00015
2,8.05333,2.81242,4.66509,0.03006,0,0,0,0,nan,nan,nan,0.079315,0.000315,0.000315
3,10.6069,2.51574,3.33727,0.02539,0,0,0,0,nan,nan,nan,0.06848,0.00048,0.00048
4,12.7354,2.37167,3.08106,0.02392,0,0,0,0,nan,nan,nan,0.057645,0.000645,0.000645
5,14.8766,2.33406,3.01403,0.02341,0,0,0,0,nan,nan,nan,0.04681,0.00081,0.00081
6,16.9454,2.32652,2.95649,0.02204,0,0,0,0,nan,nan,nan,0.035975,0.000974999,0.000974999
7,18.9906,2.23011,2.88457,0.0221,0,0,0,0,nan,nan,nan,0.02514,0.00114,0.00114
8,21.1366,2.26307,2.90695,0.02253,0,0,0,0,nan,nan,nan,0.014305,0.001305,0.001305
9,23.2104,2.29301,2.89313,0.02244,0,0,0,0,nan,nan,nan,0.00347,0.00147,0.00147
10,25.284,2.25823,2.78438,0.02235,0.00971,0.00601,0.0055,0.00186,nan,nan,nan,0.0015,0.0015,0.0015
11,27.4757,2.18098,2.71732,0.0219,0.06464,0.3634,0.05008,0.01868,nan,nan,nan,0.0015,0.0015,0.0015
12,29.7219,2.20122,2.69493,0.02148,0.11983,0.54725,0.12243,0.04456,nan,nan,nan,0.0015,0.0015,0.0015
13,31.8776,2.24249,2.77139,0.02206,0.14204,0.50601,0.13999,0.05041,2.05346,2.45067,0.01837,0.00149999,0.00149999,0.00149999
14,34.0589,2.19269,2.74048,0.02158,0.14327,0.46907,0.16884,0.05919,1.99847,2.47089,0.0179,0.00149999,0.00149999,0.00149999
15,36.204,2.26292,2.69296,0.02184,0.15578,0.43385,0.18354,0.06453,1.96304,2.49247,0.01753,0.00149999,0.00149999,0.00149999
16,38.3879,2.23379,2.72972,0.02185,0.16919,0.40378,0.19109,0.0674,1.94604,2.48858,0.01739,0.00149999,0.00149999,0.00149999
17,40.6113,2.24219,2.71887,0.02185,0.17055,0.37457,0.18801,0.06737,1.93862,2.49053,0.0173,0.00149999,0.00149999,0.00149999
18,42.8008,2.19577,2.65214,0.02201,0.18165,0.33591,0.17848,0.06484,1.9287,2.51231,0.01727,0.00149999,0.00149999,0.00149999
19,44.9552,2.21506,2.72367,0.02151,0.18217,0.33719,0.18165,0.06597,1.91516,2.51186,0.01708,0.00149999,0.00149999,0.00149999
20,47.1395,2.3163,2.72309,0.02278,0.18733,0.35481,0.1856,0.06834,1.89531,2.5029,0.01683,0.00149999,0.00149999,0.00149999
21,49.3109,2.29694,2.59174,0.02151,0.19462,0.33419,0.18558,0.06853,1.88403,2.50848,0.01676,0.00149999,0.00149999,0.00149999
22,51.5493,2.25393,2.57599,0.02097,0.19409,0.33517,0.19035,0.07048,1.86984,2.51071,0.01662,0.00149998,0.00149998,0.00149998
23,53.6763,2.10615,2.61425,0.02105,0.20075,0.3256,0.18834,0.07141,1.86383,2.52216,0.01669,0.00149998,0.00149998,0.00149998
24,55.8023,2.20708,2.61929,0.02179,0.20494,0.31615,0.19068,0.0745,1.85455,2.53029,0.01663,0.00149998,0.00149998,0.00149998
25,57.9088,2.21662,2.60661,0.02153,0.20205,0.32131,0.19505,0.07724,1.84817,2.5213,0.01658,0.00149998,0.00149998,0.00149998
26,60.1671,2.1846,2.57096,0.02163,0.20657,0.32818,0.20201,0.0797,1.83772,2.50679,0.01649,0.00149998,0.00149998,0.00149998
27,62.351,2.1936,2.63378,0.02211,0.21766,0.30756,0.20094,0.08112,1.83009,2.5107,0.01649,0.00149998,0.00149998,0.00149998
28,64.496,2.15313,2.62012,0.02166,0.22708,0.31443,0.21015,0.08449,1.82324,2.49288,0.0163,0.00149997,0.00149997,0.00149997
29,66.6128,2.16037,2.59612,0.02022,0.23215,0.31787,0.2175,0.08653,1.8227,2.47531,0.01632,0.00149997,0.00149997,0.00149997
30,68.7298,2.18582,2.50617,0.02056,0.2404,0.31443,0.22632,0.08962,1.81566,2.47502,0.01631,0.00149997,0.00149997,0.00149997
31,70.9309,2.17238,2.5867,0.02183,0.24372,0.31701,0.23257,0.09296,1.82117,2.46322,0.01635,0.00149997,0.00149997,0.00149997
32,73.1111,2.21148,2.64853,0.02194,0.25137,0.31529,0.23246,0.0928,1.81859,2.46238,0.01637,0.00149996,0.00149996,0.00149996
33,75.2081,2.14303,2.49535,0.02073,0.24579,0.31694,0.23104,0.09232,1.81996,2.46019,0.0164,0.00149996,0.00149996,0.00149996
34,77.345,2.17232,2.64174,0.02024,0.25379,0.32818,0.23591,0.09417,1.81033,2.44842,0.01632,0.00149996,0.00149996,0.00149996
35,79.4472,2.12036,2.52415,0.02134,0.25719,0.33849,0.24413,0.09698,1.8157,2.45129,0.01645,0.00149996,0.00149996,0.00149996
36,81.6233,2.05442,2.51399,0.01996,0.26129,0.35395,0.24698,0.09939,1.81758,2.44902,0.0165,0.00149996,0.00149996,0.00149996
37,83.7096,2.13884,2.55033,0.02203,0.26489,0.35223,0.24924,0.10128,1.82118,2.42305,0.01648,0.00149995,0.00149995,0.00149995
38,85.8201,2.16858,2.50909,0.02162,0.27751,0.33591,0.23867,0.09932,1.8309,2.42271,0.01671,0.00149995,0.00149995,0.00149995
39,87.9244,2.15246,2.53516,0.02164,0.27891,0.34622,0.24388,0.10109,1.81172,2.42118,0.0165,0.00149995,0.00149995,0.00149995
40,90.0315,2.18945,2.48885,0.02214,0.28911,0.34966,0.24566,0.10195,1.80709,2.4049,0.01647,0.00149994,0.00149994,0.00149994
41,92.1935,2.20173,2.43936,0.02076,0.28308,0.36426,0.24149,0.09844,1.80268,2.40601,0.0164,0.00149994,0.00149994,0.00149994
42,94.3316,2.12907,2.42836,0.02128,0.28748,0.35739,0.24082,0.0983,1.79717,2.40547,0.01635,0.00149994,0.00149994,0.00149994
43,96.4693,2.13819,2.48497,0.02044,0.28913,0.34794,0.2344,0.0966,1.80201,2.40053,0.0164,0.00149994,0.00149994,0.00149994
44,98.6126,2.13775,2.46531,0.02045,0.28434,0.34708,0.23396,0.09698,1.80187,2.38375,0.01638,0.00149993,0.00149993,0.00149993
45,100.709,2.16557,2.41558,0.01996,0.29432,0.34794,0.24283,0.10141,1.80799,2.36544,0.0164,0.00149993,0.00149993,0.00149993
46,102.895,2.19441,2.44832,0.02122,0.30196,0.34107,0.24855,0.10319,1.81074,2.35172,0.01639,0.00149993,0.00149993,0.00149993
47,105.017,2.15279,2.49624,0.01969,0.30013,0.34966,0.2536,0.10469,1.80898,2.3376,0.01636,0.00149992,0.00149992,0.00149992
48,107.13,2.13072,2.40036,0.02063,0.31373,0.35137,0.25507,0.10333,1.80681,2.3441,0.0163,0.00149992,0.00149992,0.00149992
49,109.232,2.10733,2.40114,0.02078,0.32455,0.34622,0.2632,0.1063,1.80827,2.33712,0.01627,0.00149992,0.00149992,0.00149992
50,111.404,2.07668,2.3804,0.01992,0.32605,0.35911,0.28018,0.11618,1.8006,2.30794,0.01613,0.00149991,0.00149991,0.00149991
51,113.502,2.16221,2.38765,0.02117,0.34429,0.36426,0.29341,0.12423,1.7888,2.29448,0.016,0.00149991,0.00149991,0.00149991
52,115.625,2.15702,2.39115,0.02077,0.35732,0.36856,0.30471,0.1306,1.77025,2.30271,0.01584,0.0014999,0.0014999,0.0014999
53,117.712,2.11742,2.39095,0.01904,0.37158,0.37543,0.31596,0.13663,1.77539,2.2866,0.01583,0.0014999,0.0014999,0.0014999
54,119.837,2.16103,2.40608,0.02045,0.39194,0.39261,0.33247,0.14125,1.76318,2.28895,0.01567,0.0014999,0.0014999,0.0014999
55,122.025,2.0875,2.31394,0.02052,0.41976,0.39433,0.33865,0.14138,1.77498,2.2962,0.01584,0.00149989,0.00149989,0.00149989
56,124.172,2.02904,2.28093,0.01989,0.43708,0.40378,0.3533,0.14639,1.78229,2.27139,0.01593,0.00149989,0.00149989,0.00149989
57,126.255,2.09441,2.39851,0.01978,0.44847,0.40726,0.36203,0.14985,1.76862,2.25926,0.0157,0.00149989,0.00149989,0.00149989
58,128.378,2.1442,2.33539,0.0207,0.44733,0.42268,0.36731,0.15357,1.76904,2.22487,0.01572,0.00149988,0.00149988,0.00149988
59,130.505,2.11377,2.26995,0.0187,0.45383,0.42698,0.37689,0.15771,1.75554,2.19747,0.01553,0.00149988,0.00149988,0.00149988
60,132.694,2.07577,2.34944,0.02102,0.47475,0.42096,0.38649,0.16349,1.76613,2.1883,0.01565,0.00149987,0.00149987,0.00149987
61,134.865,2.05719,2.2978,0.0208,0.4656,0.4201,0.38392,0.16044,1.78164,2.18739,0.01586,0.00149987,0.00149987,0.00149987
62,136.995,2.0962,2.2514,0.02017,0.46111,0.42416,0.39008,0.16424,1.77422,2.1856,0.0159,0.00149986,0.00149986,0.00149986
