epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84828,2.04479,57.6369,0.02121,0,0,0,0,nan,nan,nan,0.09015,0.00015,0.00015
2,6.13229,2.80862,24.0339,0.02952,0,0,0,0,nan,nan,nan,0.0793148,0.000314786,0.000314786
3,8.42028,2.60356,3.79516,0.02716,0,0,0,0,nan,nan,nan,0.0684787,0.000478698,0.000478698
4,10.6299,2.61562,3.55334,0.0261,0,0,0,0,nan,nan,nan,0.0576411,0.000641069,0.000641069
5,12.8806,2.62644,3.27331,0.02569,0,0,0,0,nan,nan,nan,0.0468012,0.000801238,0.000801238
6,15.0873,2.57459,3.14592,0.02458,0,0,0,0,nan,nan,nan,0.0359586,0.000958555,0.000958555
7,17.2265,2.4245,2.902,0.02325,0,0,0,0,nan,nan,nan,0.0251124,0.00111238,0.00111238
8,19.4722,2.39953,2.8092,0.02413,0,0,0,0,nan,nan,nan,0.0142621,0.00126209,0.00126209
9,21.5882,2.36223,2.68424,0.02232,0.0023,0.00773,0.00118,0.00021,nan,nan,nan,0.00340709,0.00140709,0.00140709
10,23.7731,2.36235,2.68999,0.02426,0.0285,0.03351,0.0078,0.00182,nan,nan,nan,0.00141907,0.00141907,0.00141907
11,25.9534,2.31412,2.75253,0.02318,0.14536,0.14605,0.05586,0.01473,nan,nan,nan,0.00140052,0.00140052,0.00140052
12,28.2095,2.32356,2.65952,0.02282,0.21801,0.20262,0.12345,0.03643,nan,nan,nan,0.00138021,0.00138021,0.00138021
13,30.5394,2.3218,2.66729,0.02329,0.27217,0.25687,0.1709,0.05342,nan,nan,nan,0.0013582,0.0013582,0.0013582
14,32.8249,2.3089,2.66902,0.023,0.32169,0.34278,0.23881,0.07737,nan,nan,nan,0.00133453,0.00133453,0.00133453
15,35.1447,2.26328,2.64539,0.02314,0.33604,0.3445,0.25208,0.08726,nan,nan,nan,0.00130929,0.00130929,0.00130929
16,37.3861,2.2867,2.68019,0.02409,0.34607,0.35997,0.2628,0.09031,2.1332,nan,0.01986,0.00128253,0.00128253,0.00128253
17,39.5488,2.3423,2.68072,0.02252,0.35557,0.35481,0.27021,0.09269,2.15608,2.51307,0.02,0.00125433,0.00125433,0.00125433
18,41.7815,2.29957,2.6251,0.0217,0.36696,0.34536,0.27507,0.09458,2.1739,2.47397,0.02009,0.00122477,0.00122477,0.00122477
19,44.084,2.31699,2.57736,0.02166,0.37276,0.34192,0.27904,0.09685,2.15453,2.43538,0.01992,0.00119393,0.00119393,0.00119393
20,46.2834,2.24926,2.53413,0.02179,0.38079,0.34622,0.28364,0.10101,2.12739,2.40343,0.01967,0.00116189,0.00116189,0.00116189
21,48.4813,2.27419,2.61778,0.02211,0.37597,0.3445,0.28658,0.1037,2.09245,2.39508,0.01938,0.00112875,0.00112875,0.00112875
22,50.6964,2.27343,2.62054,0.02147,0.37437,0.3445,0.29082,0.10675,2.06643,2.37504,0.01915,0.00109459,0.00109459,0.00109459
23,53.0359,2.27792,2.50322,0.02238,0.3841,0.35567,0.29517,0.10879,2.06434,2.35333,0.01911,0.0010595,0.0010595,0.0010595
24,55.2598,2.26669,2.55956,0.02118,0.39048,0.36254,0.2926,0.10945,2.07096,2.33565,0.01915,0.00102359,0.00102359,0.00102359
25,57.473,2.22831,2.52723,0.02284,0.37517,0.3634,0.29528,0.1092,2.06283,2.34966,0.01899,0.000986945,0.000986945,0.000986945
26,59.6519,2.2225,2.52677,0.02031,0.36575,0.35395,0.28995,0.10821,2.06915,2.34745,0.01901,0.000949673,0.000949673,0.000949673
27,61.9033,2.21288,2.52231,0.02072,0.37017,0.34966,0.29674,0.10979,2.0627,2.32176,0.01899,0.000911874,0.000911874,0.000911874
28,64.2531,2.26104,2.51234,0.02305,0.38117,0.36254,0.30492,0.11247,2.02875,2.31357,0.0187,0.000873653,0.000873653,0.000873653
29,66.4488,2.2435,2.47467,0.02243,0.38664,0.3634,0.30671,0.11401,2.01842,2.31122,0.01865,0.000835112,0.000835112,0.000835112
30,68.6404,2.28061,2.58497,0.02333,0.37836,0.35825,0.30331,0.11342,2.01791,2.30525,0.01867,0.000796359,0.000796359,0.000796359
31,70.8646,2.20449,2.45642,0.02215,0.38609,0.35911,0.30678,0.11398,2.01109,2.2985,0.01865,0.0007575,0.0007575,0.0007575
32,73.1074,2.22962,2.40503,0.02139,0.37788,0.36168,0.30665,0.11497,2.00573,2.29209,0.01858,0.000718641,0.000718641,0.000718641
33,75.4304,2.13497,2.42401,0.02079,0.37355,0.36942,0.30376,0.115,2.00321,2.29267,0.01853,0.000679888,0.000679888,0.000679888
34,77.7151,2.19246,2.44966,0.02114,0.37394,0.36082,0.30622,0.11512,2.01342,2.27422,0.01863,0.000641347,0.000641347,0.000641347
35,79.9573,2.21411,2.37136,0.02233,0.36832,0.37027,0.30485,0.1147,2.01192,2.27383,0.01859,0.000603126,0.000603126,0.000603126
36,82.2574,2.27673,2.48887,0.02256,0.36447,0.37445,0.30452,0.1147,2.01632,2.26578,0.01861,0.000565327,0.000565327,0.000565327
37,84.4678,2.19551,2.45355,0.02165,0.3657,0.37629,0.30287,0.11412,2.02284,2.25757,0.01867,0.000528055,0.000528055,0.000528055
38,86.8184,2.28578,2.5295,0.02195,0.37362,0.38316,0.30234,0.11427,2.02529,2.24164,0.01865,0.000491412,0.000491412,0.000491412
39,89.2374,2.23795,2.46839,0.02166,0.37264,0.37887,0.3051,0.11496,2.02136,2.22934,0.01858,0.000455498,0.000455498,0.000455498
40,91.8523,2.2296,2.43077,0.02266,0.37291,0.3866,0.31019,0.11676,2.01253,2.22272,0.01852,0.000420412,0.000420412,0.000420412
41,94.2917,2.24906,2.40208,0.02217,0.37739,0.38402,0.31306,0.11859,2.0034,2.21818,0.01844,0.00038625,0.00038625,0.00038625
42,96.776,2.13763,2.38581,0.0206,0.38352,0.38488,0.31932,0.12084,1.99251,2.21333,0.01833,0.000353106,0.000353106,0.000353106
43,99.0131,2.20474,2.52543,0.02105,0.38794,0.37973,0.32014,0.12204,1.98371,2.20611,0.01825,0.000321069,0.000321069,0.000321069
44,101.33,2.2335,2.40047,0.02129,0.39098,0.38918,0.32166,0.12347,1.97504,2.20102,0.01817,0.00029023,0.00029023,0.00029023
45,103.535,2.14067,2.39335,0.01989,0.39179,0.38629,0.32352,0.12334,1.97534,2.20328,0.01817,0.000260671,0.000260671,0.000260671
46,105.814,2.18217,2.39888,0.01954,0.38806,0.39261,0.32212,0.12453,1.96572,2.20267,0.01805,0.000232473,0.000232473,0.000232473
47,108.146,2.16047,2.37269,0.02063,0.38772,0.3866,0.3226,0.12381,1.96878,2.20866,0.01809,0.000205715,0.000205715,0.000205715
48,110.385,2.26852,2.40412,0.02136,0.39978,0.39003,0.32566,0.12415,1.96771,2.20729,0.01806,0.000180469,0.000180469,0.000180469
