epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23702,2.11659,45.9681,0.02299,0,0,0,0,nan,nan,nan,0.09015,0.00015,0.00015
2,6.31859,2.87345,4.33654,0.03044,0,0,0,0,nan,nan,nan,0.0793148,0.000314786,0.000314786
3,8.40112,2.66052,3.44701,0.02731,0,0,0,0,nan,nan,nan,0.0684787,0.000478698,0.000478698
4,10.4061,2.69996,3.11518,0.02724,0,0,0,0,nan,nan,nan,0.0576411,0.000641069,0.000641069
5,12.4105,2.60332,2.94852,0.02545,0,0,0,0,nan,nan,nan,0.0468012,0.000801238,0.000801238
6,14.5022,2.47094,2.84413,0.02332,0,0,0,0,nan,nan,nan,0.0359586,0.000958555,0.000958555
7,16.4271,2.4294,2.62907,0.02349,0,0,0,0,nan,nan,nan,0.0251124,0.00111238,0.00111238
