epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.98438,2.08242,49.8078,0.02285,0,0,0,0,nan,nan,nan,0.09015,0.00015,0.00015
2,8.01317,2.83611,4.68357,0.03019,0,0,0,0,nan,nan,nan,0.079315,0.000315,0.000315
3,10.1919,2.66927,3.54072,0.02713,0,0,0,0,nan,nan,nan,0.06848,0.000479999,0.000479999
4,12.3099,2.43872,3.21104,0.0249,0,0,0,0,nan,nan,nan,0.057645,0.000644996,0.000644996
5,14.3258,2.40903,2.97498,0.0243,0,0,0,0,nan,nan,nan,0.04681,0.000809992,0.000809992
6,16.3301,2.37173,2.86622,0.02247,0,0,0,0,nan,nan,nan,0.035975,0.000974985,0.000974985
7,18.3094,2.2511,2.76586,0.02221,0,0,0,0,nan,nan,nan,0.02514,0.00113997,0.00113997
8,20.3519,2.25733,2.67304,0.02245,0.00525,0.00859,0.0027,0.00115,nan,nan,nan,0.014305,0.00130496,0.00130496
9,22.4214,2.15024,2.63316,0.02062,0.06412,0.02491,0.01389,0.00443,nan,nan,nan,0.00346994,0.00146994,0.00146994
10,24.5113,2.12446,2.57559,0.02035,0.14268,0.11942,0.06185,0.02065,nan,nan,nan,0.00149993,0.00149993,0.00149993
11,26.5994,2.1048,2.48544,0.02084,0.29293,0.2122,0.16344,0.06005,nan,nan,nan,0.00149991,0.00149991,0.00149991
12,28.7611,2.10038,2.4339,0.01983,0.3513,0.27062,0.24333,0.10406,nan,nan,nan,0.00149989,0.00149989,0.00149989
13,30.8795,2.13108,2.57397,0.02063,0.34877,0.2848,0.26229,0.11792,2.03579,2.68348,0.01953,0.00149987,0.00149987,0.00149987
14,33.0775,2.11334,2.52663,0.02067,0.33726,0.27835,0.2669,0.12736,2.00214,2.45567,0.01894,0.00149985,0.00149985,0.00149985
15,35.1784,2.1346,2.42217,0.02029,0.2779,0.32474,0.27124,0.1332,1.98238,2.3926,0.01861,0.00149982,0.00149982,0.00149982
16,37.3215,2.14994,2.52338,0.02095,0.27943,0.33162,0.27731,0.13658,1.95549,2.36278,0.01825,0.00149979,0.00149979,0.00149979
17,39.3626,2.15907,2.47661,0.02099,0.27942,0.33849,0.28141,0.14164,1.93242,2.31802,0.01794,0.00149977,0.00149977,0.00149977
18,41.4424,2.07865,2.3349,0.0208,0.2865,0.34107,0.29058,0.15337,1.86474,2.25604,0.01706,0.00149974,0.00149974,0.00149974
19,43.5706,2.06268,2.38625,0.01989,0.29426,0.34192,0.29788,0.15956,1.84274,2.20992,0.01677,0.0014997,0.0014997,0.0014997
20,45.6694,2.14941,2.52342,0.0206,0.32044,0.34364,0.30563,0.16295,1.83967,2.16948,0.01673,0.00149967,0.00149967,0.00149967
21,47.7497,2.12295,2.43348,0.0196,0.34632,0.35137,0.31023,0.16583,1.8298,2.16265,0.01665,0.00149963,0.00149963,0.00149963
22,49.8264,2.07179,2.41463,0.01873,0.36811,0.35567,0.31258,0.16706,1.83503,2.16781,0.01675,0.0014996,0.0014996,0.0014996
23,51.8834,2.02737,2.40265,0.02013,0.36652,0.36683,0.31904,0.17228,1.8241,2.15826,0.01664,0.00149956,0.00149956,0.00149956
24,54.0068,2.1165,2.45693,0.02085,0.35275,0.36615,0.32414,0.17889,1.8033,2.13742,0.0164,0.00149952,0.00149952,0.00149952
25,56.0317,2.10285,2.38652,0.02039,0.33611,0.3677,0.32394,0.17976,1.80156,2.11939,0.01639,0.00149947,0.00149947,0.00149947
26,58.1217,1.99151,2.37749,0.01932,0.3215,0.36168,0.32506,0.18117,1.78607,2.11279,0.01625,0.00149943,0.00149943,0.00149943
27,60.2105,2.08086,2.38766,0.02079,0.32861,0.36856,0.32807,0.18356,1.78525,2.08115,0.01621,0.00149938,0.00149938,0.00149938
28,62.271,2.02999,2.39477,0.02027,0.34197,0.38058,0.33386,0.18615,1.78685,2.05978,0.01623,0.00149933,0.00149933,0.00149933
29,64.3759,2.0012,2.40499,0.01854,0.3579,0.37398,0.33631,0.18801,1.78522,2.05772,0.01621,0.00149928,0.00149928,0.00149928
30,66.4258,2.00975,2.3431,0.01859,0.37351,0.3867,0.34259,0.19266,1.77869,2.05815,0.01615,0.00149923,0.00149923,0.00149923
31,68.4716,2.01829,2.33454,0.01998,0.39267,0.39777,0.35158,0.19872,1.77288,2.04073,0.01607,0.00149918,0.00149918,0.00149918
32,70.5413,2.06904,2.46196,0.02039,0.38226,0.40034,0.35564,0.19751,1.77612,2.05149,0.01621,0.00149912,0.00149912,0.00149912
33,72.6562,2.00769,2.34304,0.01924,0.38111,0.40636,0.35979,0.19876,1.77043,2.05107,0.01614,0.00149906,0.00149906,0.00149906
34,74.7261,1.99786,2.40859,0.01831,0.38321,0.41667,0.36396,0.20035,1.75855,2.05012,0.01601,0.001499,0.001499,0.001499
35,76.8125,1.9706,2.32032,0.01964,0.38163,0.42151,0.36045,0.20369,1.73561,2.04836,0.0157,0.00149894,0.00149894,0.00149894
36,78.8879,1.88472,2.25251,0.01809,0.3905,0.41409,0.36102,0.20419,1.73937,2.03464,0.01562,0.00149888,0.00149888,0.00149888
37,80.9409,2.01051,2.33676,0.02065,0.40562,0.4055,0.36588,0.20724,1.73905,2.02687,0.0157,0.00149881,0.00149881,0.00149881
38,83.0786,1.98581,2.29447,0.01979,0.42434,0.4201,0.38374,0.22238,1.70621,1.97594,0.01538,0.00149875,0.00149875,0.00149875
39,85.1279,2.00723,2.27886,0.02023,0.42264,0.41581,0.38965,0.22349,1.70199,1.97794,0.01538,0.00149868,0.00149868,0.00149868
40,87.1861,2.00138,2.27288,0.02022,0.40581,0.4201,0.38734,0.21706,1.71234,1.98645,0.01553,0.00149861,0.00149861,0.00149861
41,89.243,1.9887,2.29238,0.01831,0.39707,0.41237,0.38275,0.21502,1.70868,1.98393,0.01549,0.00149853,0.00149853,0.00149853
42,91.3307,1.986,2.27814,0.01952,0.38525,0.38979,0.37283,0.21843,1.70458,1.98847,0.01532,0.00149846,0.00149846,0.00149846
43,93.4477,1.98214,2.28539,0.01849,0.39536,0.39863,0.37737,0.22179,1.70165,1.98407,0.01529,0.00149838,0.00149838,0.00149838
44,95.4923,1.9479,2.31881,0.01858,0.39223,0.4244,0.39112,0.22129,1.7013,1.97069,0.01548,0.00149831,0.00149831,0.00149831
45,97.5246,1.98664,2.303,0.01769,0.40446,0.43385,0.39506,0.22014,1.7148,1.97864,0.01567,0.00149823,0.00149823,0.00149823
46,99.5786,1.97504,2.27281,0.0189,0.40552,0.43471,0.39882,0.22454,1.68917,1.97915,0.01537,0.00149815,0.00149815,0.00149815
47,101.643,1.95249,2.26455,0.01758,0.42313,0.43643,0.40525,0.23348,1.65763,1.96137,0.01497,0.00149806,0.00149806,0.00149806
48,103.786,1.97396,2.31656,0.01853,0.43782,0.42784,0.40221,0.23708,1.66805,1.94741,0.01493,0.00149798,0.00149798,0.00149798
49,105.858,1.89714,2.21929,0.01857,0.45257,0.41124,0.40198,0.23683,1.66868,1.95472,0.01492,0.00149789,0.00149789,0.00149789
50,107.922,1.91285,2.20664,0.01818,0.45012,0.41495,0.408,0.2357,1.65776,1.93998,0.01494,0.0014978,0.0014978,0.0014978
51,109.985,1.97486,2.2008,0.01911,0.45321,0.42182,0.4156,0.23413,1.6649,1.93134,0.01511,0.00149771,0.00149771,0.00149771
52,112.068,1.9753,2.28877,0.01856,0.43193,0.43213,0.41663,0.23618,1.65309,1.9211,0.01499,0.00149762,0.00149762,0.00149762
53,114.189,1.92673,2.25454,0.01715,0.42564,0.44158,0.41437,0.24137,1.63109,1.91241,0.01475,0.00149752,0.00149752,0.00149752
54,116.294,1.99052,2.32171,0.01874,0.44043,0.42526,0.41169,0.24485,1.62596,1.90622,0.01467,0.00149743,0.00149743,0.00149743
55,118.369,1.90088,2.15477,0.01845,0.45664,0.42598,0.41369,0.24719,1.63199,1.8982,0.01472,0.00149733,0.00149733,0.00149733
