epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,122.529,0.27994,0.20448,0.81125,0.99165,0.99485,0.99479,0.93838,0.38009,0.224,0.81272,9.0125e-05,9.0125e-05,9.0125e-05
42,124.946,0.29035,0.2191,0.81858,0.9922,0.99399,0.99485,0.94368,0.36929,0.21822,0.80824,8.23913e-05,8.23913e-05,8.23913e-05
43,127.401,0.27874,0.20499,0.82154,0.99253,0.9957,0.99484,0.94865,0.36355,0.21408,0.80775,7.49162e-05,7.49162e-05,7.49162e-05
44,129.751,0.27308,0.20392,0.81632,0.99229,0.99537,0.99481,0.95488,0.34585,0.2065,0.80604,6.77202e-05,6.77202e-05,6.77202e-05
45,132.076,0.27589,0.19288,0.81614,0.99229,0.99523,0.99483,0.94783,0.35354,0.20462,0.80842,6.08231e-05,6.08231e-05,6.08231e-05
46,134.402,0.28452,0.20699,0.82131,0.99228,0.9943,0.99483,0.94396,0.35941,0.20329,0.81061,5.42438e-05,5.42438e-05,5.42438e-05
47,136.766,0.28117,0.19892,0.81627,0.99314,0.99473,0.99483,0.95392,0.3353,0.1989,0.80595,4.80002e-05,4.80002e-05,4.80002e-05
48,139.092,0.28003,0.20818,0.82611,0.9925,0.99485,0.99483,0.96066,0.32093,0.19482,0.80195,4.21095e-05,4.21095e-05,4.21095e-05
49,141.432,0.26501,0.20628,0.8145,0.99343,0.99485,0.99483,0.95887,0.32829,0.19599,0.80102,3.65878e-05,3.65878e-05,3.65878e-05
50,143.718,0.27572,0.19987,0.81531,0.99393,0.9957,0.99485,0.95737,0.33058,0.19617,0.80065,3.14503e-05,3.14503e-05,3.14503e-05
51,146.016,0.27387,0.20847,0.81684,0.99429,0.9957,0.99486,0.95618,0.33968,0.19782,0.80157,2.67111e-05,2.67111e-05,2.67111e-05
52,148.307,0.25996,0.1957,0.80253,0.99484,0.9957,0.99486,0.95311,0.34706,0.19837,0.80268,2.23831e-05,2.23831e-05,2.23831e-05
53,150.59,0.27911,0.19804,0.81256,0.99487,0.99485,0.99486,0.95514,0.34366,0.19718,0.80201,1.84782e-05,1.84782e-05,1.84782e-05
54,152.885,0.27733,0.19473,0.81781,0.99518,0.99485,0.99489,0.95615,0.3392,0.19573,0.80153,1.50072e-05,1.50072e-05,1.50072e-05
55,155.148,0.26078,0.18818,0.81096,0.9946,0.99485,0.9949,0.95573,0.33995,0.19542,0.80189,1.19795e-05,1.19795e-05,1.19795e-05
56,157.453,0.26889,0.19167,0.80649,0.99485,0.99492,0.9949,0.95594,0.3387,0.1945,0.80169,9.40335e-06,9.40335e-06,9.40335e-06
57,159.814,0.27309,0.20091,0.81803,0.9957,0.99525,0.9949,0.95782,0.33538,0.19362,0.80095,7.28593e-06,7.28593e-06,7.28593e-06
58,162.153,0.27603,0.18584,0.81467,0.9957,0.99549,0.9949,0.96014,0.32981,0.19224,0.79993,5.63299e-06,5.63299e-06,5.63299e-06
59,164.436,0.25294,0.17793,0.80549,0.99551,0.9957,0.9949,0.96159,0.32391,0.19087,0.79886,4.44908e-06,4.44908e-06,4.44908e-06
60,166.809,0.25162,0.17859,0.79404,0.99571,0.99621,0.9949,0.96266,0.32049,0.18934,0.7983,3.73743e-06,3.73743e-06,3.73743e-06
